Bs_Name ,I_Name ,I_x ,I_y ,J_Name,J_x,J_y
福建.洋笠Ⅱ路,福建.洋中变,5020,3808,福建.笠里变,5190,3807
福建.笠东Ⅱ路,福建.笠里变,5190,3807,福建.东台变,5163,3913
福建.榕笠Ⅱ路,福建.笠里变,5190,3807,华东.榕城,5215,3913
华东.都榕II线,华东.莲都,5216,3603,华东.榕城,5215,3913
福建.五卓Ⅰ路,福建.卓然变,4958,4057,福建.五峰变,4992,4116
福建.漳五Ⅱ路,福建.五峰变,4992,4116,福建.漳州变,5022,4157
福建.后漳Ⅱ路,福建.漳州变,5022,4157,福建.后石火电厂,5049,4182
福建.漳泉Ⅱ路,福建.漳州变,5022,4157,福建.泉州变,5134,4100
福建.漳林Ⅰ路,福建.漳州变,5022,4157,福建.东林变,5011,4214
福建.东大Ⅱ路,福建.东台变,5163,3913,福建.大园变,4877,4075
福建.大泉Ⅰ路,福建.泉州变,5134,4100,福建.大园变,4877,4075
福建.泉岗Ⅱ路,福建.泉州变,5134,4100,福建.东岗变,4946,4190
福建.岭大Ⅰ路,福建.大园变,4877,4075,福建.半岭抽蓄电厂,5037,4075
福建.莆顶Ⅱ路,福建.莆田变,5212,3964,福建.园顶变,5162,3940
福建.紫莆Ⅱ路,福建.莆田变,5212,3964,福建.紫岭变,5071,4008
福建.紫泉Ⅳ路,福建.泉州变,5134,4100,福建.紫岭变,5071,4008
福建.洲莆Ⅰ路,福建.莆田变,5212,3964,福建.湄洲湾火电厂,5178,4016
福建.晋紫Ⅱ路,福建.紫岭变,5071,4008,福建.晋江变,4924,4111
福建.晋岗Ⅱ路,福建.东岗变,4946,4190,福建.晋江变,4924,4111
福建.东燕Ⅱ路,福建.东台变,5163,3913,福建.燕墩变,5163,3925
福建.顶燕Ⅰ路,福建.园顶变,5162,3940,福建.燕墩变,5163,3925
福建.玉东Ⅱ路,福建.东台变,5163,3913,福建.玉融核电厂,5214,3938
福建.玉墩线,福建.燕墩变,5163,3925,福建.玉融核电厂,5214,3938
福建.玉顶Ⅰ路,福建.园顶变,5162,3940,福建.玉融核电厂,5214,3938
福建.福中Ⅱ路,福建.洋中变,5020,3808,福建.福州变,5205,3871
福建.福燕Ⅱ路,福建.燕墩变,5163,3925,福建.福州变,5205,3871
福建.川崇Ⅰ路,福建.崇儒变,5071,3701,福建.晴川核电厂,5244,3700
福建.川榕Ⅱ路,华东.榕城,5215,3913,福建.晴川核电厂,5244,3700
华东.盱澜5686线,华东.盱眙,5030,2991,华东.安澜,5006,2943
华东.安淮5K03线,国调.淮安换流站,5079,2902,华东.安澜,5006,2943
华东.安湾5K06线,国调.淮安换流站,5079,2902,华东.三汊湾,5079,3062
华东.泗澜5244线,华东.安澜,5006,2943,华东.双泗,4989,2866
华东.堡泗5234线,华东.双泗,4989,2866,华东.三堡变,4862,2792
华东.堡澜5254线,华东.安澜,5006,2943,华东.三堡变,4862,2792
华东.泗上5236线,华东.双泗,4989,2866,华东.上河,5042,2866
华东.钟双5K41线,华东.双泗,4989,2866,华东.钟吾,4953,2808
华东.山双5660线,华东.双泗,4989,2866,华东.岱山,5042,3130
华东.岱钟5661线,华东.钟吾,4953,2808,华东.岱山,5042,3130
华东.堡任5231线,华东.三堡变,4862,2792,华东.任庄,5202,2865
华东.任上5238线,华东.上河,5042,2866,华东.任庄,5202,2865
华东.东三III线,华东.三堡变,4862,2792,华东.东明站,4661,2715
华东.任彭5206线,华东.任庄,5202,2865,华东.彭城厂,5226,2897
华东.伊上5251线,华东.上河,5042,2866,华东.伊芦,5071,2754
华东.上邮5684线,华东.上河,5042,2866,华东.高邮,5119,2901
华东.上盐5239线,华东.上河,5042,2866,华东.盐都,5164,2971
华东.芦塘5615线,华东.伊芦,5071,2754,华东.艾塘,5052,2800
华东.新艾5613线,华东.艾塘,5052,2800,华东.新海厂,5052,2721
华东.新伊5614线,华东.伊芦,5071,2754,华东.新海厂,5052,2721
华东.田都5216线,华东.盐都,5164,2971,华东.田湾核厂,5103,2773
华东.田伊5217线,华东.伊芦,5071,2754,华东.田湾核厂,5103,2773
华东.盐泰5255线,华东.盐都,5164,2971,华东.泰兴,5221,3120
华东.州凤5K22线,国调.泰州换流站,5179,2994,华东.凤城,5152,3033
华东.盐凤5256线,华东.盐都,5164,2971,华东.凤城,5152,3033
华东.凤泰5647线,华东.泰兴,5221,3120,华东.凤城,5152,3033
华东.田徐5215线,华东.田湾核厂,5103,2773,华东.徐圩,5137,2795
华东.徐盐5290线,华东.盐都,5164,2971,华东.徐圩,5137,2795
华东.兴斗5294线,华东.泰兴,5221,3120,华东.斗山,5180,3134
华东.通泰5257线,华东.泰兴,5221,3120,华东.苏通厂,5272,3120
华东.泰胜5258线,华东.泰兴,5221,3120,华东.胜利,5338,3045
华东.港兴5260线,华东.泰兴,5221,3120,华东.高港厂,5253,3046
华东.都港5246线,华东.高港厂,5253,3046,华东.江都,5115,3045
华东.邮江5242线,华东.高邮,5119,2901,华东.江都,5115,3045
华东.高仪5240线,华东.高邮,5119,2901,华东.仪征,5096,3061
华东.仪江5241线,华东.江都,5115,3045,华东.仪征,5096,3061
华东.扬征5610线,华东.仪征,5096,3061,华东.扬州第二厂,5106,3082
华东.扬江5203线,华东.江都,5115,3045,华东.扬州第二厂,5106,3082
华东.江陵5292线,华东.江都,5115,3045,华东.晋陵,5129,3077
华东.伊潘5641线,华东.伊芦,5071,2754,华东.潘荡,5191,2909
华东.滨潘5K13线,华东.潘荡,5191,2909,华东.滨响,5146,2936
华东.潘汇5636线,华东.潘荡,5191,2909,华东.丰汇,5217,2942
华东.陈荡5608线,华东.潘荡,5191,2909,华东.陈家港厂,5191,2749
华东.泰双5K25线,国调.泰州换流站,5179,2994,华东.双草,5195,2957
江苏.双汇2E30线,华东.丰汇,5217,2942,华东.双草,5195,2957
华东.苏殿5252线,华东.苏通厂,5272,3120,华东.三官殿,5338,3096
华东.三胜5633线,华东.胜利,5338,3045,华东.三官殿,5338,3096
华东.东殿5646线,华东.三官殿,5338,3096,华东.东洲,5291.01,3044.1
华东.芜楚5381线,华东.芜湖,4927,3339,华东.楚城,4957,3277
华东.城涂5334线,华东.楚城,4957,3277,华东.当涂,5020,3200
华东.团城5328线,华东.楚城,4957,3277,华东.团洲厂,4930,3251
华东.新当5313线,华东.当涂,5020,3200,华东.新桥厂,5230,3236
华东.涂天5907线,华东.当涂,5020,3200,华东.天目湖,5038,3299
华东.当关5324线,华东.当涂,5020,3200,华东.昭关,5048.8,3231.2
华东.天泉5622线,华东.天目湖,5038,3299,华东.惠泉,4912,3115
华东.袁淮5329线,华东.淮南,4878,3144,华东.袁庄厂,4820.58,3094.74
华东.斗南5266线,华东.斗山,5180,3134,华东.武南,5145,3086
华东.陵武5288线,华东.晋陵,5129,3077,华东.武南,5145,3086
华东.武泉5280线,华东.惠泉,4912,3115,华东.武南,5145,3086
华东.苏渎5230线,国调.苏州换流站,5267,3223,华东.木渎,5217,3279
华东.梅木5275线,华东.木渎,5217,3279,华东.梅里,5149,3244
华东.惠梅5227线,华东.惠泉,4912,3115,华东.梅里,5149,3244
华东.清昭5311线,华东.昭关,5048.8,3231.2,华东.清流,5047,3390
华东.临关5374线,华东.昭关,5048.8,3231.2,华东.长临河,5047,3070
华东.居关5317线,华东.昭关,5048.8,3231.2,华东.居巢厂,5096.59,3329.2
华东.福昭5356线,华东.昭关,5048.8,3231.2,华东.福渡,5097,3231
华东.居福5322线,华东.居巢厂,5096.59,3329.2,华东.福渡,5097,3231
